LM Notation JP,LM Notation EN,common alias,jp alias 1,jp alias 2,jp alias 3,jp alias 4,en alias 1,en alias 2,en alias 3,en alias 4
1,1,↙,,,,,d/b,,,
2,2,↓,屈,,,,crouch,c.,cr.,d
3,3,↘,,,,,d/f,,,
4,4,←,引,引き,,,b,,,
5,5,N,,,,,wait,,,
6,6,→,,,,,f,,,
7,7,↖,,,,,bjump,,,
8,8,↑,垂直ジャンプ,垂直,,,up,u,,
9,9,↗,,,,,fjump,,,
9,9,,前ジャンプ,,,,Jump forward,,,
7,7,,後ろジャンプ,,,,Back Jump,,,
4(タメ),4(Charge),,,,,,[4],,,
2(タメ),2(Charge),,,,,,[2],,,
360,360,,1回転,,,,,,,
360 360,,720,2回転,,,,,,,
投げ,Throw,,,,,,,,,
LP,LP,,弱P,立弱P,,,St.LP,S.LP,lp,
MP,MP,,中P,立中P,,,St.MP,S.MP,mp,
HP,HP,,強P,立強P,大パン,大P,St.HP,S.HP,hp,
P,P,,,,,,,,p,
LK,LK,,弱K,立弱K,,,S.LK,St.LK,lk,
MK,MK,,中K,立中K,,,S.MK,St.MK,mk,
HK,HK,,強K,立強K,大K,,S.HK,St.HK,hk,
K,K,,,,,,,,k,
L,L,,小攻撃,弱,,,,,l,
M,M,,強攻撃,中,,,,,m,
H,H,,中攻撃,強,,,,,h,
Any,Any,,,,,,,,,
SP,SP,,必殺技,,,,,,,
Auto,Auto,,アシスト,,,,,,,
DI,DI,,インパクト,,,,,,,
DP,DP,,,,,,,,,
DR,DR,,ドライブラッシュ,,,,drive rush,dr,,
CR,CR,,キャンセルラッシュ,,,,cancel rush,cr,,
Jump,Jump,,ジャンプ,,,,j.,jump,,
Hold,Hold,,ホールド,,,,hold,(hold),(held),
or,or,,,,,,,,,
>,>,,＞,,,,,",",,
>>,>>,,,,,,,,,
-,-,,,,,,,->,,
[],[],,,,,,,,,
22,22,,,,,,dd,,,
236,236,,,,,,qcf,,,
236x2,236236,,,,,,qcfx2,,,
214,214,,,,,,qcb,,,
214x2,214214,,,,,,qcbx2,,,
41236,41236,,,,,,hcf,,,
63214,63214,,,,,,hcb,,,
623,623,,,,,,dp,srk,,
421,421,,,,,,rdp,,,
44,44,,バクステ,,,,"forward dash ",dash,fdash,fd
66,66,,前ステ,,,,back dash,bd,bdash,
623LP,623LP,,弱昇竜,,,,,,,
623MP,623MP,,中昇竜,,,,,,,
623HP,623HP,,大昇竜,,,,,,,
236LP,236LP,,弱波動,,,,,,,
236MP,236MP,,中波動,,,,,,,
236HP,236HP,,大波動,,,,,,,
214LK,214LK,,弱竜巻,,,,,,,
214MK,214MK,,中竜巻,,,,,,,
214HK,214HK,,大竜巻,,,,,,,
214KK,214KK,,OD竜巻,,,,,,,
236PP,236PP,,OD波動,,,,,,,
623PP,623PP,,OD昇竜,,,,,,,
2LP,2LP,,下弱P,,,,,,,
2MP,2MP,,下中P,,,,,,,
2HP,2HP,,下大P,,,,,,,
2LK,2LK,,下弱P,,,,,,,
2MK,2MK,,下中P,,,,,,,
2HK,2HK,,下大P,,,,,,,
2PP,2PP,,下PP,,,,,,,
2KK,2KK,,下KK,,,,,,,
6LP,6LP,,前小P,,,,,,,
6MP,6MP,,前中P,,,,,,,
6HP,6HP,,前大P,,,,,,,
6LK,6LK,,前小K,,,,,,,
6MK,6MK,,前中K,,,,,,,
6HK,6HK,,前大K,,,,,,,
6P,6P,,前P,,,,,,,
6K,6K,,前K,,,,,,,
Jump LP,Jump LP,,J小P,,,,,,,
Jump MP,Jump MP,,J中P,,,,,,,
Jump P,Jump P,,J強P,,,,,,,
Jump HP,Jump HP,,J大P,,,,,,,
Jump LK,Jump LK,,J小K,,,,,,,
Jump MK,Jump MK,,J中K,,,,,,,
Jump HK,Jump HK,,J大K,,,,,,,
Jump K,Jump K,,J強K,,,,,,,
4LP,4LP,,後小P,,,,,,,
4MP,4MP,,後中P,,,,,,,
4HP,4HP,,後大P,後強P,,,,,,
4LK,4LK,,後小K,,,,,,,
4MK,4MK,,後中K,,,,,,,
4HK,4HK,,後大K,後強K,,,,,,
4P,4P,,後P,,,,,,,
4K,4K,,後K,,,,,,,
,,,,,,,,,,
